#(carId,StartTime,RoadId...)
(10000,5,5023)
(10001,5,5079)
(10002,12,5029)
(10003,45,5004)
(10004,41,5025)
(10005,6,5059)
(10006,5,5052)
(10007,41,5088)
(10008,7,5028)
(10009,41,5051)
(10010,4,5092)
(10011,12,5024)
(10012,17,5052)
(10013,2,5028)
(10014,48,5022)
(10015,41,5090)
(10016,45,5023)
(10017,7,5068)
(10018,1,5004)
(10019,24,5048)
(10020,41,5000)
(10021,41,5046)
(10022,12,5006)
(10023,10,5007,5022,5035,5048,5062,5070)
(10024,7,5044)
(10025,9,5081)
(10026,5,5001)
(10027,12,5005)
(10028,41,5049)
(10029,12,5032)
(10030,24,5051)
(10031,1,5007,5022,5035,5048,5062,5077,5090,5098,5099,5100,5101)
(10032,2,5024)
(10033,24,5081)
(10034,9,5086)
(10035,17,5052)
(10036,4,5092)
(10037,4,5012)
(10038,4,5002)
(10039,12,5055)
(10040,5,5096)
(10041,46,5041)
(10042,24,5066)
(10043,9,5028)
(10044,24,5040)
(10045,41,5083)
(10046,42,5086)
(10047,41,5094)
(10048,7,5068)
(10049,13,5079)
(10050,41,5003)
(10051,7,5095)
(10052,33,5023)
(10053,5,5062)
(10054,7,5049)
(10055,12,5011)
(10056,41,5010)
(10057,1,5006)
(10058,1,5091)
(10059,41,5054)
(10060,24,5068)
(10061,12,5050)
(10062,12,5050)
(10063,41,5067)
(10064,10,5081)
(10065,3,5007)
(10066,12,5063)
(10067,7,5022)
(10068,1,5044)
(10069,8,5051)
(10070,24,5096)
(10071,41,5065)
(10072,12,5065)
(10073,41,5088)
(10074,8,5044)
(10075,48,5077)
(10076,5,5065)
(10077,41,5037)
(10078,18,5022)
(10079,41,5065)
(10080,12,5077)
(10081,41,5038)
(10082,1,5023)
(10083,41,5037)
(10084,2,5035)
(10085,2,5059)
(10086,10,5090)
(10087,25,5041)
(10088,1,5027)
(10089,41,5062)
(10090,12,5024)
(10091,12,5027)
(10092,41,5005)
(10093,10,5025)
(10094,24,5035)
(10095,24,5062)
(10096,41,5092)
(10097,5,5063)
